Name,SMI
PE(22:0/18:2),[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCCCCCCCCCCCCCC)=O
DGDG(34:2),C(O[C@@H]1O[C@H](CO[C@H]2O[C@H](CO)[C@H](O)C(O)C2O)[C@H](O)C(O)C1O)[C@]([H])(OC(CC=CCCCCCCCCCCCCC)=O)COC(CC=CCCCCCCCCCCCCC)=O
TG(62:2),C(OC(=O)CCCCCCCCCCC/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCCCCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCCCCCCCC)=O
TG(59:6),C(OC(=O)CCCCCCCCCCC/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O)COC(CCCCCCCCCCCCCCCC)=O
Daidzein,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O
PE(19:0/22:6),[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCCCCCCCCCCCCC)=O)COC(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O
PS(53:17),C(O)(=O)[C@@]([H])(N)COP(OC[C@]([H])(OC(CC=CCC=CCC=CCC=CCC=CCC=CCC=CCC=CCC=CC)=O)COC(CC=CCC=CCC=CCC=CCC=CCC=CCC=CCC=CCC=CCC=CC)=O)(=O)O
Cer(42:2),[C@](CO)([H])(NC(CC=CCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)CC=CCCCCCCCCCCCC
LPC(19:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(O)COC(CCCCCCCCCCCCCCCCCC)=O
PE(p34:0),[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCCCCCCCCCCCC)=O)CO/C=C\CCCCCCCCCCCCCC
PC(31:2),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O
TG(57:0),C(OC(=O)CCCCCCCCCCCCCCCCCCCCC)[C@]([H])(OC(CCCCCCCCCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCCC)=O
LPC(26:7),C[N+](C)(C)CCOP(OC[C@]([H])(O)COC(CC=CCC=CCC=CCC=CCC=CCC=CCC=CCCCC)=O)(=O)O
PE(28:0),[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCCC[C@H](C)CCCCCCCC)=O
DGDG(16:0/19:1),C(O[C@@H]1O[C@H](CO[C@H]2O[C@H](CO)[C@H](O)C(O)C2O)[C@H](O)C(O)C1O)[C@]([H])(OC(CC=CCCCCCCCCCCCCCC)=O)COC(CC=CCC=CCCCCCCCCCCCC)=O
LPC(22:2),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(O)COC(CCCCCCCCCCC/C=C\C/C=C\CCCCC)=O
PS(44:11),C(O)(=O)[C@@]([H])(N)COP(OC[C@]([H])(OC(CC=CCC=CCC=CCC=CCC=CCC=CCCC)=O)COC(CC=CCC=CCC=CCC=CCC=CCC=CCC=CC)=O)(=O)O
Fumonisin B1,CCCC[C@@H](C)[C@H]([C@H](C[C@@H](C)C[C@@H](CCCC[C@H](C[C@@H]([C@H](C)N)O)O)O)OC(=O)C[C@@H](CC(=O)O)C(=O)O)OC(=O)C[C@@H](CC(=O)O)C(=O)O
PC(22:2),C[N+](C)(C)CCOP(OC[C@]([H])(OC(CC=CCCCCCCC)=O)COC(CC=CCCCCCCC)=O)(=O)O
DGDG(32:2),C(O[C@@H]1O[C@H](CO[C@H]2O[C@H](CO)[C@H](O)C(O)C2O)[C@H](O)C(O)C1O)[C@]([H])(OC(CC=CCCCCCCCCCCCC)=O)COC(CC=CCCCCCCCCCCCC)=O
Cer(44:1),[C@](CO)([H])(NC(CCCCCCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)CC=CCCCCCCCCCCCC
Acetylcarnitine,CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C
PE(o32:1),[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCC/C=C\CCCC)=O)COCCCCCCCCCCCCCCCCCC
PS(18:0/22:6),C(O)(=O)[C@@]([H])(N)COP(OC[C@]([H])(OC(CCCCCCCCC/C=C\CCCCCCCC)=O)COC(CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O)(=O)O
PC(17:0/20:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCCCCCCCCCCC)=O
MGDG(16:3/18:3),C(O[C@@H]1O[C@H](CO)[C@H](O)C(O)C1O)[C@]([H])(OC(CCCCC/C=C\C/C=C\C/C=C\CC)=O)COC(CCCCCCC/C=C\C/C=C\C/C=C\CC)=O
TG(56:8),C(OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)[C@]([H])(OC(CCCC/C=C\C/C=C\C/C=C\CCCCC)=O)COC(CCCCCCCCCCCCCCCCC)=O
Dethiobiotin,C[C@H]1[C@H](NC(=O)N1)CCCCCC(=O)O
LPE(14:0/0:0),CCCCCCCCCCCCCC(=O)OC[C@@H](O)CO[P]([O-])(=O)OCC[NH3+]
PE(34:4),[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCC/C=C\C/C=C\C/C=C\CCCCC)=O)COC(CCCCCCC/C=C\CCCC)=O
DGDG(18:0/18:1),C(O[C@@H]1O[C@H](CO[C@H]2O[C@H](CO)[C@H](O)C(O)C2O)[C@H](O)C(O)C1O)[C@]([H])(OC(CC=CCCCCCCCCCCCCCC)=O)COC(CC=CCC=CCCCCCCCCCCC)=O
PE(o36:2),[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COCCCCCCCCCCCCCCCCCC
9-HODE,CCCCC/C=C\C=C\C(CCCCCCCC(=O)O)O
TG(49:4),C(OC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCC/C=C\C/C=C\CCCC)=O)COC(CCCCCCCCCCC)=O
TG(58:1),C(OC(=O)CCCCCCCCCCCCCCCCCCCCC)[C@]([H])(OC(CCCCCCCCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCC)=O
PC(o33:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCC)=O)CO/C=C\CCCCCCCCCCCCCCCCCC
Secologanin,COC(=O)C1=CO[C@H]([C@@H]([C@@H]1CC=O)C=C)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O
DG(38:1),OC[C@]([H])(OC(CCCCCCCCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O
DG(38:2),OC[C@]([H])(OC(CCCCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O
PC(40:14),C[N+](C)(C)CCOP(OC[C@]([H])(OC(CC=CCC=CCC=CCC=CCC=CCC=CCC=CC)=O)COC(CC=CCC=CCC=CCC=CCC=CCC=CCC=CC)=O)(=O)O
Cer(d18:1/22:1),[C@](CO)([H])(NC(CC=CCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)CC=CCCCCCCCCCCCC
TG(50:2),C(OC(=O)CCCCCCC/C=C\CCCCCCCCC)[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCCC)=O)COC(CCCCCCCCCCC)=O
Abscisic Acid,CC1=CC(=O)CC(C1(/C=C/C(=C\C(=O)O)/C)O)(C)C
DETHIOBIOTIN,C[C@H]1[C@H](NC(=O)N1)CCCCCC(=O)O
TG(57:2),C(OC(=O)CCCCCCCCC/C=C\CCCCCCCCCC)[C@]([H])(OC(CCCCCCCCC/C=C\CCCCCCCCCC)=O)COC(CCCCCCCCCCCC)=O
PE(38:2),[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCCCC/C=C\CCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O
TG(53:5),C(OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCC/C=C\CCCCCCC)=O)COC(CCCCCCCCCCCCC)=O
LPC(18:3),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(O)COC(CCCC/C=C\C/C=C\C/C=C\CCCCC)=O
PE(22:1/22:6),[C@](COP(=O)(O)OCCN)([H])(OC(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O)COC(CCCCCCCCC/C=C\CCCCCCCCCC)=O
PE(22:4/22:6),[C@](COP(=O)(O)OCCN)([H])(OC(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O)COC(CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O
PS(32:0),C(O)(=O)[C@@]([H])(N)COP(OC[C@]([H])(OC(CCCCCCCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCC)=O)(=O)O
LPC(22:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(O)COC(CCCCCCCCCCCCCCCCCCCCC)=O
HYDROCORTISONE,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O
PC(o34:4),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCC/C=C\C/C=C\C/C=C\C/C=C\CC)=O)COCCCCCCCCCCCCCCCC
PC(24:0/22:6),C[N+](C)(C)CCOP(OC[C@]([H])(OC(CC=CCC=CCC=CCCCCCCCCCCCCC)=O)COC(CC=CCC=CCC=CCCCCCCCCCCCCC)=O)(=O)O
PIP(38:4),CCCCCCCCCCCCCCCCCC(=O)OC[C@H](CO[P](O)(=O)O[C@H]1C(O)C(O)C(O)[C@@H](O[P](O)(O)=O)C1O)OC(=O)CCC\C=C/C/C=C\C\C=C/C/C=C\CCCCC
PE(18:0/18:1),[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCCCC/C=C\CCCCCCCC)=O
TG(47:0),C(OC(=O)CCCCCCCCCCCCCCC)[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCCCCC)=O
12R-HETE,CCCCC/C=C\C[C@H](/C=C/C=C\C/C=C\CCCC(=O)O)O
PC(16:0/18:2),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCC/C=C\C/C=C\CCCCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O
PI(34:2),[C@]([H])(OC(CCCCCCCCCCC/C=C\C/C=C\CCCCC)=O)(COP(=O)(O)O[C@@H]1C(O)[C@H](O)C(O)C(O)C1O)COC(CCCCCCCCCCC)=O
TG(55:5),C(OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCC/C=C\CCCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O
PI(38:5),[C@]([H])(OC(CCCC/C=C\C/C=C\C/C=C\CCCCC)=O)(COP(=O)(O)O[C@@H]1C(O)[C@H](O)C(O)C(O)C1O)COC(CCCCCCCCC/C=C\C/C=C\CCCCC)=O
PE(18:0/22:5),[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCCCC/C=C\CCCCCCCCCC)=O)COC(CCCC/C=C\C/C=C\C/C=C\C/C=C\CC)=O
PS(18:0/18:1),C(O)(=O)[C@@]([H])(N)COP(OC[C@]([H])(OC(CCCCCCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O)(=O)O
CYPERMETHRIN,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C
PC(16:0/19:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCC)=O
PC(20:3/22:6),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCC/C=C\C/C=C\C/C=C\CCCCC)=O)COC(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O
PE(20:2/22:6),[C@](COP(=O)(O)OCCN)([H])(OC(CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O)COC(CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O
CORTICOSTERONE,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O
Glycolithocholic acid,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C
PE(40:9),[C@](COP(=O)(O)OCCN)([H])(OC(CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O)COC(CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O
DGDG(29:0),C(O[C@@H]1O[C@H](CO[C@H]2O[C@H](CO)[C@H](O)C(O)C2O)[C@H](O)C(O)C1O)[C@]([H])(OC(CCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O
TG(56:3),C(OC(=O)CCCCCCCCC/C=C\CCCCCCCCCC)[C@]([H])(OC(CCCCCCC/C=C\CCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCC)=O
TG(58:8),C(OC(=O)CCCCCCCC/C=C\C/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCC/C=C\C/C=C\C/C=C\CC)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O
Lignoceric Acid,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O
SM(34:2),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CC=CCCCCCCCCCCCC)=O)[C@]([H])(O)CC=CCCCCCCCCCCCC
Cer(d40:1),[C@](CO)([H])(NC(CCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)CC=CCCCCCCCCCCCC
